date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:32:39	109025/109025	---M--	200	added ('OK')	image/svg+xml	etag:%2280326ce7c759d61:0%22	https://coronavirus.sergas.gal/autotest/fonts/core/bootstrap/glyphicons-halflings-regular.svg	C:/Users/jose-/OneDrive/Documentos/AAAA/prueba2/coronavirus.sergas.gal/autotest/fonts/core/bootstrap/glyphicons-halflings-regular.svg	(from https://coronavirus.sergas.gal/autotest/min/site-041f289e86.css)
20:32:40	165742/165742	---M--	200	added ('OK')	application/octet-stream	etag:%2280326ce7c759d61:0%22	https://coronavirus.sergas.gal/autotest/fonts/core/fontawesome/fontawesome-webfont.eot?v=4.7.0	C:/Users/jose-/OneDrive/Documentos/AAAA/prueba2/coronavirus.sergas.gal/autotest/fonts/core/fontawesome/fontawesome-webfont3e6e.eot	(from https://coronavirus.sergas.gal/autotest/min/site-041f289e86.css)
20:32:41	77160/77160	---M--	200	added ('OK')	application/font-woff2	etag:%2280326ce7c759d61:0%22	https://coronavirus.sergas.gal/autotest/fonts/core/fontawesome/fontawesome-webfont.woff2?v=4.7.0	C:/Users/jose-/OneDrive/Documentos/AAAA/prueba2/coronavirus.sergas.gal/autotest/fonts/core/fontawesome/fontawesome-webfont3e6e.woff2	(from https://coronavirus.sergas.gal/autotest/min/site-041f289e86.css)
20:32:42	98024/98024	---M--	200	added ('OK')	application/font-woff	etag:%2280326ce7c759d61:0%22	https://coronavirus.sergas.gal/autotest/fonts/core/fontawesome/fontawesome-webfont.woff?v=4.7.0	C:/Users/jose-/OneDrive/Documentos/AAAA/prueba2/coronavirus.sergas.gal/autotest/fonts/core/fontawesome/fontawesome-webfont3e6e.woff	(from https://coronavirus.sergas.gal/autotest/min/site-041f289e86.css)
20:32:43	165548/165548	---M--	200	added ('OK')	application/octet-stream	etag:%2280326ce7c759d61:0%22	https://coronavirus.sergas.gal/autotest/fonts/core/fontawesome/fontawesome-webfont.ttf?v=4.7.0	C:/Users/jose-/OneDrive/Documentos/AAAA/prueba2/coronavirus.sergas.gal/autotest/fonts/core/fontawesome/fontawesome-webfont3e6e.ttf	(from https://coronavirus.sergas.gal/autotest/min/site-041f289e86.css)
20:32:44	0/0	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Jan%202025%2002:32:43%20GMT	https://coronavirus.sergas.gal/autotest/Popover%20requires%20tooltip.js	C:/Users/jose-/OneDrive/Documentos/AAAA/prueba2/coronavirus.sergas.gal/autotest/Popover%20requires%20tooltip.3d.delayed	(from https://coronavirus.sergas.gal/autotest/min/site-abf0c1926f.js)
20:32:44	447050/447050	---M--	200	added ('OK')	image/svg+xml	etag:%2280326ce7c759d61:0%22	https://coronavirus.sergas.gal/autotest/fonts/core/fontawesome/fontawesome-webfont.svg?v=4.7.0	C:/Users/jose-/OneDrive/Documentos/AAAA/prueba2/coronavirus.sergas.gal/autotest/fonts/core/fontawesome/fontawesome-webfont3e6e.svg	(from https://coronavirus.sergas.gal/autotest/min/site-041f289e86.css)
20:32:45	0/0	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Jan%202025%2002:32:45%20GMT	https://coronavirus.sergas.gal/autotest/call_get.js	C:/Users/jose-/OneDrive/Documentos/AAAA/prueba2/coronavirus.sergas.gal/autotest/call_get.3e.delayed	(from https://coronavirus.sergas.gal/autotest/min/site-abf0c1926f.js)
20:32:46	0/0	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Jan%202025%2002:32:45%20GMT	https://coronavirus.sergas.gal/autotest/generators.js	C:/Users/jose-/OneDrive/Documentos/AAAA/prueba2/coronavirus.sergas.gal/autotest/generators.3f.delayed	(from https://coronavirus.sergas.gal/autotest/min/site-abf0c1926f.js)
20:32:46	0/0	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Jan%202025%2002:32:46%20GMT	https://coronavirus.sergas.gal/autotest/map.js	C:/Users/jose-/OneDrive/Documentos/AAAA/prueba2/coronavirus.sergas.gal/autotest/map.40.delayed	(from https://coronavirus.sergas.gal/autotest/min/site-abf0c1926f.js)
